Obręb,Obręb nr,Arkusz,Nr działki,Pełny numer działki,Powierzchnia działki,Jednostka,Data ustanowienia
GOLĘCIN (20),20,31,79/1,20/31/79/1,0.5786,Szkoła Podstawowa nr 89   ,
GOLĘCIN (20),20,38,62/2,20/38/62/2,0.0104,Urząd Statystyczny w Poznaniu   ,
GOLĘCIN (20),20,38,60,20/38/60,0.1508,Urząd Statystyczny w Poznaniu   ,
GOLĘCIN (20),20,29,12/1,20/29/12/1,0.0255,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,12/1,20/29/12/1,0.0255,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,20/1,20/29/20/1,0.2393,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,20/1,20/29/20/1,0.2393,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,17,20/29/17,0.0451,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,17,20/29/17,0.0451,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,41,20/29/41,0.0529,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,41,20/29/41,0.0529,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,39,20/29/39,0.0501,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,39,20/29/39,0.0501,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,42,20/29/42,0.0505,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,42,20/29/42,0.0505,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,06,4/1,20/06/4/1,0.4021,Zespół Szkolno-Przedszkolny nr 15   ,2022-03-12T02:00:00+01:00
GOLĘCIN (20),20,22,4/1,20/22/4/1,0.1456,Zarząd Zieleni Miejskiej   ,2017-04-27T04:00:00+02:00
GOLĘCIN (20),20,29,72/1,20/29/72/1,0.0539,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,72/1,20/29/72/1,0.0539,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,13,1/972,20/13/1/972,0.0485,"Przedszkole nr 77 ""Koraliki""   ",2018-07-10T04:00:00+02:00
GOLĘCIN (20),20,13,1/962,20/13/1/962,0.0209,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,42,60/5,20/42/60/5,0.0793,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,29,73/1,20/29/73/1,0.0464,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,73/1,20/29/73/1,0.0464,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
JEŻYCE (21),21,18,1/8,21/18/1/8,0.4195,Zarząd Transportu Miejskiego w Poznaniu   ,
JEŻYCE (21),21,18,1/7,21/18/1/7,0.6575,Zarząd Transportu Miejskiego w Poznaniu   ,
GOLĘCIN (20),20,29,74/1,20/29/74/1,0.0205,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,74/1,20/29/74/1,0.0205,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,41,48/12,20/41/48/12,1.4854,XXXVIII Dwujęzyczne Liceum Ogólnokształcące im.Jana Nowaka-Jeziorańskiego   ,
GOLĘCIN (20),20,33,35/6,20/33/35/6,0.0345,Prezydent Miasta Poznania   ,
GOLĘCIN (20),20,31,143/10,20/31/143/10,0.3122,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,29,9/2,20/29/9/2,0.0154,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,9/2,20/29/9/2,0.0154,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,37,2/6,20/37/2/6,0.0172,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,41,76/6,20/41/76/6,1.4058,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,36,18/5,20/36/18/5,0.384,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,29,28/3,20/29/28/3,0.0966,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,28/3,20/29/28/3,0.0966,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,23,20/29/23,0.045,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,23,20/29/23,0.045,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,62/1,20/29/62/1,0.0427,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,62/1,20/29/62/1,0.0427,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
JEŻYCE (21),21,12,26,21/12/26,0.1032,Komenda Wojewódzka Policji w Poznaniu   ,
GOLĘCIN (20),20,39,87,20/39/87,0.517,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,25,15/58,20/25/15/58,0.0027,Komenda Wojewódzka Policji w Poznaniu   ,
GOLĘCIN (20),20,06,3/15,20/06/3/15,0.0136,Zespół Szkolno-Przedszkolny nr 15   ,2022-03-12T02:00:00+01:00
GOLĘCIN (20),20,31,83/8,20/31/83/8,0.4924,Szkoła Podstawowa nr 89   ,
GOLĘCIN (20),20,40,1/6,20/40/1/6,0.4246,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,15,17,20/15/17,0.7818,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,25,15/78,20/25/15/78,4.1137,Komenda Wojewódzka Policji w Poznaniu   ,
GOLĘCIN (20),20,15,7,20/15/7,0.1128,Prezydent Miasta Poznania   ,
GOLĘCIN (20),20,04,52,20/04/52,1.1447,Zespół Szkolno-Przedszkolny nr 15   ,2022-03-12T02:00:00+01:00
GOLĘCIN (20),20,36,17,20/36/17,0.116,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,45,119,20/45/119,0.0535,Zarząd Dróg Miejskich   ,
GOLĘCIN (20),20,45,121,20/45/121,0.3749,Zarząd Dróg Miejskich   ,
GOLĘCIN (20),20,45,124/2,20/45/124/2,0.0058,Zarząd Dróg Miejskich   ,
JEŻYCE (21),21,12,20/1,21/12/20/1,0.0002,Komenda Wojewódzka Policji w Poznaniu   ,
JEŻYCE (21),21,12,20/2,21/12/20/2,0.5968,Komenda Wojewódzka Policji w Poznaniu   ,
GOLĘCIN (20),20,29,69/1,20/29/69/1,0.112,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,69/1,20/29/69/1,0.112,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,33/1,20/29/33/1,0.059,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,33/1,20/29/33/1,0.059,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,36,19,20/36/19,0.0251,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,36,21,20/36/21,0.0707,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,29,25,20/29/25,0.0744,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,25,20/29/25,0.0744,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,6/1,20/29/6/1,0.0063,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,6/1,20/29/6/1,0.0063,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,38,27,20/38/27,0.0794,Przedszkole nr 171   ,
GOLĘCIN (20),20,29,11/1,20/29/11/1,0.0235,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,11/1,20/29/11/1,0.0235,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,36,18/2,20/36/18/2,22.4791,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,29,34/1,20/29/34/1,0.0026,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,34/1,20/29/34/1,0.0026,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,4/7,20/29/4/7,0.1189,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,4/7,20/29/4/7,0.1189,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,22,5/8,20/22/5/8,0.294,Zarząd Zieleni Miejskiej   ,2017-04-27T04:00:00+02:00
GOLĘCIN (20),20,29,43,20/29/43,0.0566,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,43,20/29/43,0.0566,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,44,20/29/44,0.044,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,44,20/29/44,0.044,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,16,20/29/16,0.1514,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,16,20/29/16,0.1514,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,67/1,20/29/67/1,0.0212,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,67/1,20/29/67/1,0.0212,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,46/1,20/29/46/1,0.0104,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,46/1,20/29/46/1,0.0104,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,06,4/23,20/06/4/23,0.0109,Zespół Szkolno-Przedszkolny nr 15   ,2022-03-12T02:00:00+01:00
GOLĘCIN (20),20,22,2/2,20/22/2/2,0.0464,Zarząd Zieleni Miejskiej   ,2017-04-27T04:00:00+02:00
GOLĘCIN (20),20,22,3/4,20/22/3/4,0.044,Zarząd Zieleni Miejskiej   ,2017-04-27T04:00:00+02:00
GOLĘCIN (20),20,15,16/1,20/15/16/1,0.4666,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,38,61/1,20/38/61/1,0.0542,Urząd Statystyczny w Poznaniu   ,
JEŻYCE (21),21,21,232/3,21/21/232/3,0.6081,Szkoła Podstawowa nr 70 im. Mikołaja Kopernika   ,
JEŻYCE (21),21,21,61/2,21/21/61/2,0.1753,IV Liceum Ogólnokształcące im. Komisji Edukacji Narodowej   ,
JEŻYCE (21),21,14,94/2,21/14/94/2,0.3101,Poznański Zespół Żłobków   ,
GOLĘCIN (20),20,29,24,20/29/24,0.0299,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,24,20/29/24,0.0299,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,31,134/8,20/31/134/8,0.0228,Zarząd Transportu Miejskiego w Poznaniu   ,
GOLĘCIN (20),20,06,3/3,20/06/3/3,0.5787,Zespół Szkolno-Przedszkolny nr 15   ,
GOLĘCIN (20),20,35,1/12,20/35/1/12,0.546,"Przedszkole nr 3 ""Promyczek""   ",
GOLĘCIN (20),20,04,16/6,20/04/16/6,0.0323,Zespół Szkolno-Przedszkolny nr 15   ,2022-03-12T02:00:00+01:00
GOLĘCIN (20),20,29,68,20/29/68,0.0188,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,68,20/29/68,0.0188,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,18,20/29/18,0.0075,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,18,20/29/18,0.0075,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,40,20/29/40,0.0626,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,40,20/29/40,0.0626,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,31,134/9,20/31/134/9,0.0378,Zarząd Transportu Miejskiego w Poznaniu   ,
GOLĘCIN (20),20,29,15/1,20/29/15/1,0.0385,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,15/1,20/29/15/1,0.0385,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,36,20,20/36/20,0.0724,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,45,120,20/45/120,0.0103,Zarząd Dróg Miejskich   ,
GOLĘCIN (20),20,24,3/1,20/24/3/1,3.9829,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,31,78/3,20/31/78/3,0.0041,Szkoła Podstawowa nr 89   ,
GOLĘCIN (20),20,29,13/1,20/29/13/1,0.0292,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,13/1,20/29/13/1,0.0292,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,14/1,20/29/14/1,0.0306,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,14/1,20/29/14/1,0.0306,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,10/1,20/29/10/1,0.0198,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,10/1,20/29/10/1,0.0198,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,13,1/951,20/13/1/951,1.6687,Szkoła Podstawowa nr 1   ,
GOLĘCIN (20),20,14,1/77,20/14/1/77,0.2353,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,45,127/2,20/45/127/2,0.3518,Zarząd Dróg Miejskich   ,2016-09-27T04:00:00+02:00
GOLĘCIN (20),20,29,61/1,20/29/61/1,0.0625,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,61/1,20/29/61/1,0.0625,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,38,124/3,20/38/124/3,0.2177,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,14,1/229,20/14/1/229,1.5385,Dom Pomocy Społecznej   ,2021-12-08T02:00:00+01:00
GOLĘCIN (20),20,25,15/77,20/25/15/77,0.2709,Komenda Wojewódzka Policji w Poznaniu   ,
GOLĘCIN (20),20,38,86/4,20/38/86/4,0.2479,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,38,86/7,20/38/86/7,0.0632,Zarząd Zieleni Miejskiej   ,
JEŻYCE (21),21,18,26/2,21/18/26/2,0.1042,Zarząd Zieleni Miejskiej   ,
JEŻYCE (21),21,15,114/16,21/15/114/16,0.006,Zarząd Dróg Miejskich   ,
JEŻYCE (21),21,18,25,21/18/25,0.0584,Zarząd Zieleni Miejskiej   ,
JEŻYCE (21),21,01,201,21/01/201,0.1296,Zespół Szkolno-Przedszkolny nr 13   ,
JEŻYCE (21),21,13,1/1,21/13/1/1,0.1889,Zarząd Zieleni Miejskiej   ,
SPŁAWIE (9),9,29,4/19,9/29/4/19,0.044,Zarząd Dróg Miejskich   ,
SPŁAWIE (9),9,32,19/2,9/32/19/2,1.1871,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
SPŁAWIE (9),9,29,4/5,9/29/4/5,0.1406,Zarząd Dróg Miejskich   ,
SPŁAWIE (9),9,32,20/4,9/32/20/4,0.0024,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
SPŁAWIE (9),9,24,48,9/24/48,0.4663,Zarząd Dróg Miejskich   ,
JEŻYCE (21),21,09,32/4,21/09/32/4,0.0257,Sąd Okręgowy w Poznaniu   ,
JEŻYCE (21),21,12,87/2,21/12/87/2,0.4016,Komenda Wojewódzka Policji w Poznaniu   ,
JEŻYCE (21),21,15,114/48,21/15/114/48,0.0047,Zarząd Dróg Miejskich   ,
JEŻYCE (21),21,12,4,21/12/4,0.0222,Komenda Wojewódzka Policji w Poznaniu   ,2022-12-22T02:00:00+01:00
JEŻYCE (21),21,12,17/2,21/12/17/2,0.0115,Komenda Wojewódzka Policji w Poznaniu   ,
JEŻYCE (21),21,17,5/2,21/17/5/2,0.3295,Ośrodek Szkolno-Wychowawczy Dla Dzieci i Młodzieży Niepełnosprawnej im. Zbigniewa Tylewicza   ,
JEŻYCE (21),21,12,81,21/12/81,0.0058,Komenda Wojewódzka Policji w Poznaniu   ,
JEŻYCE (21),21,12,22/1,21/12/22/1,0.0226,Komenda Wojewódzka Policji w Poznaniu   ,
JEŻYCE (21),21,09,45/1,21/09/45/1,0.0347,Zespół Szkół Zawodowych nr 1   ,
JEŻYCE (21),21,13,24/12,21/13/24/12,0.0405,"Przedszkole nr 86 "" Tęczowy Świat ""   ",
JEŻYCE (21),21,01,195,21/01/195,0.0877,Zespół Szkolno-Przedszkolny nr 13   ,
JEŻYCE (21),21,13,23,21/13/23,0.0723,"Przedszkole nr 86 "" Tęczowy Świat ""   ",
JEŻYCE (21),21,01,197,21/01/197,0.1033,Zespół Szkolno-Przedszkolny nr 13   ,
JEŻYCE (21),21,16,70,21/16/70,0.0582,Szkoła Podstawowa nr 71 im.Janusza Kusocińskiego   ,
JEŻYCE (21),21,16,70,21/16/70,0.0582,Zespół Szkół Komunikacji im. Hipolita Cegielskiego w Poznaniu   ,2018-03-30T04:00:00+02:00
JEŻYCE (21),21,01,198,21/01/198,0.1036,Zespół Szkolno-Przedszkolny nr 13   ,
JEŻYCE (21),21,12,139,21/12/139,0.1113,Kuratorium Oświaty   ,
JEŻYCE (21),21,16,7/5,21/16/7/5,0.8047,Szkoła Podstawowa nr 71 im.Janusza Kusocińskiego   ,
JEŻYCE (21),21,16,7/5,21/16/7/5,0.8047,Zespół Szkół Komunikacji im. Hipolita Cegielskiego w Poznaniu   ,2018-03-30T04:00:00+02:00
JEŻYCE (21),21,12,28,21/12/28,0.0399,Komenda Wojewódzka Policji w Poznaniu   ,
JEŻYCE (21),21,09,9/3,21/09/9/3,0.026,"Przedszkole nr 96 ""Jarzębinka""   ",
JEŻYCE (21),21,16,72/2,21/16/72/2,0.0382,Szkoła Podstawowa nr 71 im.Janusza Kusocińskiego   ,
JEŻYCE (21),21,16,72/2,21/16/72/2,0.0382,Zespół Szkół Komunikacji im. Hipolita Cegielskiego w Poznaniu   ,2018-03-30T04:00:00+02:00
JEŻYCE (21),21,15,7/1,21/15/7/1,0.0855,"Przedszkole nr 71 ""Pod Topolą""   ",
KRZYŻOWNIKI (22),22,24,5/24,22/24/5/24,0.1425,Izba Administracji Skarbowej   ,
KRZYŻOWNIKI (22),22,24,5/23,22/24/5/23,0.1931,Izba Administracji Skarbowej   ,
JEŻYCE (21),21,09,2/4,21/09/2/4,0.1687,Szkoła Podstawowa Specjalna nr 106   ,2017-12-13T02:00:00+01:00
JEŻYCE (21),21,15,114/5,21/15/114/5,0.0056,Zarząd Dróg Miejskich   ,
JEŻYCE (21),21,18,2/35,21/18/2/35,0.009,Wielkopolskie Samorządowe Centrum Kształcenia Zawodowego i Ustawicznego nr 1   ,
KRZYŻOWNIKI (22),22,22,23/14,22/22/23/14,0.0955,Izba Administracji Skarbowej   ,
KRZYŻOWNIKI (22),22,22,23/12,22/22/23/12,0.0152,Izba Administracji Skarbowej   ,
JEŻYCE (21),21,11,58,21/11/58,0.1071,Szkoła Podstawowa nr 23 im.Gen.Józefa Bema w Poznaniu   ,
JEŻYCE (21),21,11,59/8,21/11/59/8,0.0248,Szkoła Podstawowa nr 23 im.Gen.Józefa Bema w Poznaniu   ,
JEŻYCE (21),21,11,60,21/11/60,0.1039,Szkoła Podstawowa nr 23 im.Gen.Józefa Bema w Poznaniu   ,
JEŻYCE (21),21,11,52/1,21/11/52/1,0.0312,Szkoła Podstawowa nr 23 im.Gen.Józefa Bema w Poznaniu   ,
JEŻYCE (21),21,11,57/3,21/11/57/3,0.0475,Szkoła Podstawowa nr 23 im.Gen.Józefa Bema w Poznaniu   ,
JEŻYCE (21),21,09,4,21/09/4,1.3797,VII Liceum Ogólnokształcące im.Dąbrówki   ,2017-11-23T02:00:00+01:00
JEŻYCE (21),21,11,61/9,21/11/61/9,0.2411,Szkoła Podstawowa nr 23 im.Gen.Józefa Bema w Poznaniu   ,
JEŻYCE (21),21,11,59/3,21/11/59/3,0.108,Szkoła Podstawowa nr 23 im.Gen.Józefa Bema w Poznaniu   ,
JEŻYCE (21),21,11,55/3,21/11/55/3,0.1409,Szkoła Podstawowa nr 23 im.Gen.Józefa Bema w Poznaniu   ,
JEŻYCE (21),21,12,80,21/12/80,0.0869,Komenda Wojewódzka Policji w Poznaniu   ,
JEŻYCE (21),21,18,1/5,21/18/1/5,0.0135,Zarząd Transportu Miejskiego w Poznaniu   ,2016-05-05T04:00:00+02:00
JEŻYCE (21),21,11,63/10,21/11/63/10,0.0943,Szkoła Podstawowa nr 23 im.Gen.Józefa Bema w Poznaniu   ,
JEŻYCE (21),21,13,66/2,21/13/66/2,0.1281,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
JEŻYCE (21),21,18,2/33,21/18/2/33,0.4386,Poznański Zespół Żłobków   ,
JEŻYCE (21),21,16,50/2,21/16/50/2,0.0357,Prezydent Miasta Poznania   ,
JEŻYCE (21),21,09,44/2,21/09/44/2,0.0118,Sąd Okręgowy w Poznaniu   ,
JEŻYCE (21),21,01,196,21/01/196,0.107,Zespół Szkolno-Przedszkolny nr 13   ,
JEŻYCE (21),21,16,73/2,21/16/73/2,0.0458,Szkoła Podstawowa nr 71 im.Janusza Kusocińskiego   ,
JEŻYCE (21),21,16,73/2,21/16/73/2,0.0458,Zespół Szkół Komunikacji im. Hipolita Cegielskiego w Poznaniu   ,2018-03-30T04:00:00+02:00
JEŻYCE (21),21,21,58/4,21/21/58/4,0.0898,IV Liceum Ogólnokształcące im. Komisji Edukacji Narodowej   ,
JEŻYCE (21),21,01,110,21/01/110,0.0979,Zespół Szkolno-Przedszkolny nr 13   ,
JEŻYCE (21),21,11,62/8,21/11/62/8,0.0693,Szkoła Podstawowa nr 23 im.Gen.Józefa Bema w Poznaniu   ,
JEŻYCE (21),21,09,6/1,21/09/6/1,0.0422,Zarząd Transportu Miejskiego w Poznaniu   ,
JEŻYCE (21),21,14,130/22,21/14/130/22,0.446,Sąd Rejonowy Poznań - Grunwald i Jeżyce w Poznaniu   ,
JEŻYCE (21),21,06,39/5,21/06/39/5,0.0983,Technikum Energetyczne im.Henryka Zygalskiego   ,2023-08-25T04:00:00+02:00
JEŻYCE (21),21,21,4/6,21/21/4/6,0.2128,Zarząd Zieleni Miejskiej   ,
JEŻYCE (21),21,15,114/7,21/15/114/7,0.0058,Zarząd Dróg Miejskich   ,
JEŻYCE (21),21,09,12/9,21/09/12/9,0.3266,"Przedszkole nr 96 ""Jarzębinka""   ",
JEŻYCE (21),21,12,19,21/12/19,0.035,Komenda Wojewódzka Policji w Poznaniu   ,
JEŻYCE (21),21,15,114/15,21/15/114/15,0.0056,Zarząd Dróg Miejskich   ,
JEŻYCE (21),21,11,63/5,21/11/63/5,0.0372,Szkoła Podstawowa nr 23 im.Gen.Józefa Bema w Poznaniu   ,
JEŻYCE (21),21,15,114/40,21/15/114/40,0.0054,Zarząd Dróg Miejskich   ,
JEŻYCE (21),21,15,114/44,21/15/114/44,0.005,Zarząd Dróg Miejskich   ,
JEŻYCE (21),21,12,18/1,21/12/18/1,0.15,Komenda Wojewódzka Policji w Poznaniu   ,
JEŻYCE (21),21,12,25/2,21/12/25/2,0.0131,Komenda Wojewódzka Policji w Poznaniu   ,
JEŻYCE (21),21,17,75/2,21/17/75/2,0.0686,Zespół Ogrodów Jordanowskich   ,2023-09-20T04:00:00+02:00
JEŻYCE (21),21,14,82/3,21/14/82/3,0.0058,Usługi Komunalne   ,
JEŻYCE (21),21,01,199,21/01/199,0.1054,Zespół Szkolno-Przedszkolny nr 13   ,
JEŻYCE (21),21,16,68/2,21/16/68/2,0.017,Szkoła Podstawowa nr 71 im.Janusza Kusocińskiego   ,
JEŻYCE (21),21,16,68/2,21/16/68/2,0.017,Zespół Szkół Komunikacji im. Hipolita Cegielskiego w Poznaniu   ,2018-03-30T04:00:00+02:00
JEŻYCE (21),21,21,59/2,21/21/59/2,0.0687,IV Liceum Ogólnokształcące im. Komisji Edukacji Narodowej   ,
JEŻYCE (21),21,16,8/2,21/16/8/2,0.1255,Szkoła Podstawowa nr 71 im.Janusza Kusocińskiego   ,
JEŻYCE (21),21,16,8/2,21/16/8/2,0.1255,Zespół Szkół Komunikacji im. Hipolita Cegielskiego w Poznaniu   ,2018-03-30T04:00:00+02:00
JEŻYCE (21),21,18,24/2,21/18/24/2,0.0412,Zarząd Zieleni Miejskiej   ,
JEŻYCE (21),21,14,90,21/14/90,0.062,Szkoła Podstawowa nr 36 im.mjr Henryka Sucharskiego   ,
JEŻYCE (21),21,15,114/24,21/15/114/24,0.0107,Zarząd Dróg Miejskich   ,
JEŻYCE (21),21,01,200,21/01/200,0.1496,Zespół Szkolno-Przedszkolny nr 13   ,
JEŻYCE (21),21,17,76/4,21/17/76/4,0.7103,Wielkopolski Urząd Wojewódzki   ,
JEŻYCE (21),21,15,8/1,21/15/8/1,0.4963,"Przedszkole nr 71 ""Pod Topolą""   ",
JEŻYCE (21),21,21,233/2,21/21/233/2,0.5483,Szkoła Podstawowa nr 70 im. Mikołaja Kopernika   ,
JEŻYCE (21),21,11,51/1,21/11/51/1,0.0205,Szkoła Podstawowa nr 23 im.Gen.Józefa Bema w Poznaniu   ,
JEŻYCE (21),21,11,53,21/11/53,0.0102,Szkoła Podstawowa nr 23 im.Gen.Józefa Bema w Poznaniu   ,
JEŻYCE (21),21,14,68/2,21/14/68/2,0.7911,Szkoła Podstawowa nr 36 im.mjr Henryka Sucharskiego   ,
JEŻYCE (21),21,14,68/2,21/14/68/2,0.7911,Centrum Usług Wspólnych Jednostek Oświaty   ,
JEŻYCE (21),21,14,68/2,21/14/68/2,0.7911,Szkoła Podstawowa nr 36 im.mjr Henryka Sucharskiego   ,
