Obręb,Obręb nr,Arkusz,Nr działki,Pełny numer działki,Powierzchnia działki,Jednostka,Data ustanowienia
RATAJE (5),5,03,69/1,5/03/69/1,0.0767,Zarząd Transportu Miejskiego w Poznaniu   ,
RATAJE (5),5,14,1/12,5/14/1/12,0.3851,Poznański Zespół Żłobków   ,
RATAJE (5),5,03,139/3,5/03/139/3,0.1608,Przedszkole nr 126 im.Rusa   ,
RATAJE (5),5,03,139/13,5/03/139/13,0.1996,Zarząd Zieleni Miejskiej   ,
RATAJE (5),5,10,42/4,5/10/42/4,0.4015,Szkoła Podstawowa nr 14 im. Władysława Łokietka   ,2017-12-13T02:00:00+01:00
RATAJE (5),5,12,43/166,5/12/43/166,0.0013,Zarząd Zieleni Miejskiej   ,
RATAJE (5),5,05,52/1,5/05/52/1,0.2255,"Przedszkole nr 9 ""Zbyszko i Jagienka""   ",
RATAJE (5),5,05,58/1,5/05/58/1,0.0818,"Przedszkole nr 9 ""Zbyszko i Jagienka""   ",
RATAJE (5),5,16,6/1,5/16/6/1,0.0383,ZESPÓŁ SZKÓŁ SAMOCHODOWYCH IM. INŻ. TADEUSZA TAŃSKIEGO   ,
RATAJE (5),5,05,56/3,5/05/56/3,1.2646,Szkoła Podstawowa nr 19 im. Stanisława Staszica   ,
RATAJE (5),5,09,3/6,5/09/3/6,1.6463,Szkoła Podstawowa nr 2 z Oddziałami Dwujęzycznymi im.Szarych Szeregów   ,2018-01-14T02:00:00+01:00
RATAJE (5),5,20,9/1,5/20/9/1,0.1566,Zarząd Transportu Miejskiego w Poznaniu   ,
RATAJE (5),5,03,132/1,5/03/132/1,0.0042,Zarząd Transportu Miejskiego w Poznaniu   ,
RATAJE (5),5,12,43/127,5/12/43/127,0.7892,Szkoła Podstawowa nr 14 im. Władysława Łokietka   ,
RATAJE (5),5,08,6/11,5/08/6/11,0.3606,Zarząd Zieleni Miejskiej   ,2016-03-24T02:00:00+01:00
RATAJE (5),5,16,3/30,5/16/3/30,1.0094,ZESPÓŁ SZKÓŁ SAMOCHODOWYCH IM. INŻ. TADEUSZA TAŃSKIEGO   ,
RATAJE (5),5,20,23,5/20/23,0.8742,Regionalny Zarząd Gospodarki Wodnej w Poznaniu   ,
RATAJE (5),5,03,98,5/03/98,0.0878,Zarząd Transportu Miejskiego w Poznaniu   ,
RATAJE (5),5,03,99,5/03/99,0.0855,Zarząd Transportu Miejskiego w Poznaniu   ,
RATAJE (5),5,13,6/6,5/13/6/6,1.1332,Szkoła Podstawowa nr 20 im. Stefana Batorego   ,
RATAJE (5),5,04,58/1,5/04/58/1,0.0341,Szkoła Podstawowa nr 3 im. Bolesława Krzywoustego   ,
